Wall time,Step,Value
1767353640.0317247,200000,-21.0
1767354260.7099175,400000,-16.799999237060547
1767354817.9062202,600000,-13.600000381469727
1767355372.2084634,800000,-10.600000381469727
1767355932.0232801,1000000,-13.399999618530273
1767356488.0826554,1200000,-14.600000381469727
1767357052.3327975,1400000,-7.400000095367432
1767357633.0235415,1600000,-4.199999809265137
1767358219.4119837,1800000,-1.600000023841858
1767358824.128601,2000000,0.6000000238418579
1767359421.6185427,2200000,7.199999809265137
1767359984.0064964,2400000,11.0
1767360553.4685266,2600000,9.0
1767361204.118897,2800000,6.800000190734863
1767361791.717497,3000000,11.0
